"検出 右"
"DATA No","DATE","TIME","検出情報 右 撮像回数","検出情報 右 株番号","検出情報 右 撮像数","検出情報 右 処理時間[s]","検出情報 右 判定値","検出情報 右 スコア","検出情報 右 サイズＸ[mm]","検出情報 右 サイズＹ[mm]","検出情報 右 縦横比","検出情報 右 中心Ｘ[mm]","検出情報 右 中心Ｙ[mm]","検出情報 右 分解能","検出情報 右 積算位置[mm]","検出情報 右 車体昇降[mm]","検出情報 右 外葉押え[mm]","検出情報 右 スコア閾値","検出情報 右 サイズ閾値(小)[mm]","検出情報 右 サイズ閾値(大)[mm]","検出情報 右 縦横比閾値"
43,2025/12/17,11:19:02,259,9,3,1.140000E+02,2,0,0.000000E+00,0.000000E+00,3.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.796400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
44,2025/12/17,11:19:02,260,9,4,1.010000E+02,2,0,0.000000E+00,0.000000E+00,3.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.177900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
45,2025/12/17,11:19:03,261,9,5,1.080000E+02,2,0,0.000000E+00,0.000000E+00,3.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.557300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
46,2025/12/17,11:19:03,262,9,6,1.090000E+02,2,0,0.000000E+00,0.000000E+00,3.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,4.938700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
47,2025/12/17,11:19:03,263,9,7,1.080000E+02,2,0,0.000000E+00,0.000000E+00,3.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,5.327500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
48,2025/12/17,11:19:04,264,10,1,1.150000E+02,2,0,0.000000E+00,0.000000E+00,3.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.094600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
49,2025/12/17,11:19:04,265,10,2,1.010000E+02,2,0,0.000000E+00,0.000000E+00,3.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.478400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
50,2025/12/17,11:19:05,266,10,3,1.010000E+02,4,693,5.008000E+03,5.809000E+03,1.100000E+01,5.999400E+04,1.809600E+04,3.338800E+04,2.119800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
51,2025/12/17,11:19:05,267,10,4,1.070000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,6.952000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
52,2025/12/17,11:19:05,268,10,5,1.080000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.080500E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
