"クローラ_ロギングデータ"
"DATA No","DATE","TIME","軸1_ｸﾛｰﾗ補正後座標","軸1 帰還ﾄﾙｸﾓﾆﾀ","軸1_ｱﾝﾌﾟ内温度","軸2_ｸﾛｰﾗ補正後座標","軸2 帰還ﾄﾙｸﾓﾆﾀ","軸2_ｱﾝﾌﾟ内温度"
247,2025/12/15,13:33:03,0,0,31,12,0,0
248,2025/12/15,13:33:03,0,0,31,12,0,0
249,2025/12/15,13:33:03,0,0,31,12,0,0
250,2025/12/15,13:33:03,0,0,31,12,0,0
251,2025/12/15,13:33:03,0,0,31,12,0,0
252,2025/12/15,13:33:04,0,0,31,12,0,0
253,2025/12/15,13:33:04,0,0,31,12,0,0
254,2025/12/15,13:33:04,0,0,31,12,0,0
255,2025/12/15,13:33:04,0,0,31,12,0,0
256,2025/12/15,13:33:04,0,0,31,12,0,0
257,2025/12/15,13:33:05,0,0,31,12,0,0
258,2025/12/15,13:33:05,0,0,31,12,0,0
259,2025/12/15,13:33:05,0,0,31,12,0,0
260,2025/12/15,13:33:05,0,0,31,12,0,0
261,2025/12/15,13:33:05,0,0,31,12,0,0
262,2025/12/15,13:33:06,0,0,31,12,0,0
263,2025/12/15,13:33:06,0,0,31,12,0,0
264,2025/12/15,13:33:06,0,0,31,12,0,0
265,2025/12/15,13:33:06,0,0,31,12,0,0
266,2025/12/15,13:33:06,0,0,31,12,0,0
267,2025/12/15,13:33:07,0,0,31,12,0,0
268,2025/12/15,13:33:07,0,0,31,12,0,0
269,2025/12/15,13:33:07,0,0,31,12,0,0
270,2025/12/15,13:33:07,0,0,31,12,0,0
271,2025/12/15,13:33:07,0,0,31,12,0,0
272,2025/12/15,13:33:08,0,0,31,12,0,0
273,2025/12/15,13:33:08,0,0,31,12,0,0
274,2025/12/15,13:33:08,0,0,31,12,0,0
275,2025/12/15,13:33:08,0,0,31,12,0,0
276,2025/12/15,13:33:08,0,0,31,12,0,0
277,2025/12/15,13:33:09,0,0,31,12,0,0
278,2025/12/15,13:33:09,0,0,31,12,0,0
279,2025/12/15,13:33:09,0,0,31,12,0,0
280,2025/12/15,13:33:09,0,0,31,12,0,0
281,2025/12/15,13:33:09,0,0,31,12,0,0
282,2025/12/15,13:33:10,0,0,31,12,0,0
283,2025/12/15,13:33:10,0,0,31,12,0,0
284,2025/12/15,13:33:10,0,0,31,12,0,0
285,2025/12/15,13:33:10,0,0,31,12,0,0
286,2025/12/15,13:33:10,0,0,31,12,0,0
287,2025/12/15,13:33:11,0,0,31,12,0,0
288,2025/12/15,13:33:11,0,0,31,12,0,0
289,2025/12/15,13:33:11,0,0,31,12,0,0
290,2025/12/15,13:33:11,0,0,31,12,0,0
291,2025/12/15,13:33:11,0,0,31,12,0,0
292,2025/12/15,13:33:12,0,0,31,12,0,0
293,2025/12/15,13:33:12,0,0,31,12,0,0
294,2025/12/15,13:33:12,0,0,31,12,0,0
295,2025/12/15,13:33:12,0,0,31,12,0,0
296,2025/12/15,13:33:12,0,0,31,12,0,0
297,2025/12/15,13:33:13,0,0,31,12,0,0
298,2025/12/15,13:33:13,0,0,31,12,0,0
299,2025/12/15,13:33:13,0,0,31,12,0,0
300,2025/12/15,13:33:13,0,0,31,12,0,0
301,2025/12/15,13:33:13,0,0,31,12,0,0
302,2025/12/15,13:33:14,0,0,31,12,0,0
303,2025/12/15,13:33:14,0,0,31,12,0,0
304,2025/12/15,13:33:14,0,0,31,12,0,0
305,2025/12/15,13:33:14,0,0,31,12,0,0
306,2025/12/15,13:33:14,0,0,31,12,0,0
307,2025/12/15,13:33:15,0,0,31,12,0,0
308,2025/12/15,13:33:15,0,0,31,12,0,0
309,2025/12/15,13:33:15,0,0,31,12,0,0
310,2025/12/15,13:33:15,0,0,31,12,0,0
311,2025/12/15,13:33:15,0,0,31,12,0,0
312,2025/12/15,13:33:16,0,0,31,12,0,0
313,2025/12/15,13:33:16,0,0,31,12,0,0
